"Category","Description","Data.Carbohydrate","Data.Fiber","Data.Kilocalories","Data.Protein","Data.Sugar Total","Data.Water","Data.Fat.Saturated Fat","Data.Fat.Total Lipid"
"MILK","MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",4.97,0,51,3.48,0,88.86,1.195,1.92
"MILK","MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",5.49,0,56,3.95,5.260000229,87.71,1.232,1.98
"MILK","MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",4.99,0,42,3.37,5.199999809,89.92,0.633,0.97
"MILK","MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",4.97,0,43,3.48,0,89.81,0.604,0.97
"MILK","MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",5.52,0,48,3.93,0,88.74,0.728,1.17
"MILK","MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",4.96,0,34,3.37,5.090000153,90.84,0.051,0.08
"MILK","MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",5.02,0,37,3.57,5.019999981,90.38,0.162,0.25
"MILK","MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",5.56,0,41,3.96,0,89.36,0.162,0.25
"MILK","MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",4.79,0,40,3.31,4.789999962,90.13,0.548,0.88
"MILK","MILK,LOW SODIUM,FLUID",4.46,0,61,3.1,4.460000038,88.2,2.154,3.46
"MILK","MILK,DRY,WHOLE",38.42,0,496,26.32,38.41999817,2.47,16.742,26.71
"MILK","MILK,DRY,NONFAT,REG,WO/ VIT A",51.98,0,362,36.16,51.97999954,3.16,0.499,0.77
"MILK","MILK,DRY,NONFAT,INST,W/ VIT A",52.19,0,358,35.1,52.18999863,3.96,0.467,0.72
"MILK","MILK,DRY,NONFAT,CA RED",51.8,0,354,35.5,0,4.9,0.124,0.2
"MILK","MILK,BUTTERMILK,DRIED",49,0,387,34.3,49,2.97,3.598,5.78
"MILK","MILK,CND,COND,SWTND",54.4,0,321,7.91,54.40000153,27.16,5.486,8.7
"MILK","MILK,CND,EVAP,WO/ VIT A",10.04,0,134,6.81,10.03999996,74.04,4.591,7.56
"MILK","MILK,CND,EVAP,NONFAT",11.35,0,78,7.55,11.35000038,79.4,0.121,0.2
